ORF,GENE,s coeff nominal,s coeff nacl,DIFF,Name,Function
YGR185C,TYS1,-0.003724175,0.000684673,0.004408849,TYrosyl-tRNA Synthetase,"Cytoplasmic tyrosyl-tRNA synthetase, required for cytoplasmic protein synthesis; interacts with positions 34 and 35 of the tRNATyr anticodon; mutations in human ortholog YARS are associated with Charcot-Marie-Tooth (CMT) neuropathies"
YMR281W,GPI12,-0.003710676,-0.003864132,0.000153455,GlycosylPhosphatidylInositol anchor biosynthesis,"ER membrane protein involved in the second step of glycosylphosphatidylinositol (GPI) anchor assembly, the de-N-acetylation of the N-acetylglucosaminylphosphatidylinositol intermediate; functional homolog of human PIG-Lp"
YER126C,NSA2,-0.003706232,-0.006148222,0.00244199,Nop Seven Associated,"Protein constituent of 66S pre-ribosomal particles, contributes to processing of the 27S pre-rRNA"
YGL061C,DUO1,-0.003631672,0.00147933,0.005111002,Death Upon Overproduction,"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis"
YIL062C,ARC15,-0.003625498,-0.000594684,0.003030813,ARp2/3 Complex subunit,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches; has mRNA binding activity"
YHR036W,BRL1,-0.003585228,0.013838012,0.017423241,BRr6 Like protein,"Essential nuclear envelope integral membrane protein identified as a suppressor of a conditional mutation in the major karyopherin, CRM1; homologous to and interacts with Brr6p, a nuclear envelope protein involved in nuclear export"
YNL290W,RFC3,-0.003567432,-0.005888547,0.002321116,Replication Factor C,"Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon"
YLR103C,CDC45,-0.003548549,-0.002173233,0.001375316,Cell Division Cycle,"DNA replication initiation factor; recruited to MCM pre-RC complexes at replication origins; promotes release of MCM from Mcm10p, recruits elongation machinery; mutants in human homolog may cause velocardiofacial and DiGeorge syndromes"
YAL001C,TFC3,-0.003547592,0.001495351,0.005042943,Transcription Factor class C,Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding
YLR141W,RRN5,-0.003544558,0.002195896,0.005740454,Regulation of RNA polymerase I,"Protein involved in transcription of rDNA by RNA polymerase I; transcription factor, member of UAF (upstream activation factor) family along with Rrn9p and Rrn10p"
YMR227C,TAF7,-0.003539235,-0.008212394,0.004673158,TATA binding protein-Associated Factor,"TFIID subunit (67 kDa), involved in RNA polymerase II transcription initiation"
YJL061W,NUP82,-0.003423238,-0.009754377,0.006331139,NUclear Pore,"Linker nucleoporin component of the nuclear pore complex (NPC); also part of the NPC cytoplasmic filaments; contributes to nucleocytoplasmic transport and NPC biogenesis; forms stable associations with three FG-nucleoporins (Nsp1p, Nup159p, and Nup116p)"
YGL040C,HEM2,-0.003407408,-0.00298036,0.000427049,HEMe biosynthesis,"Aminolevulinate dehydratase, a homo-octameric enzyme, catalyzes the conversion of 5-aminolevulinate to porphobilinogen, the second step in heme biosynthesis; enzymatic activity is zinc-dependent; localizes to the cytoplasm and nucleus"
YLR145W,RMP1,-0.003400126,0.001758378,0.005158504,RNase MRP Protein,"Subunit of RNase MRP, which processes pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; unlike most subunits, not shared between RNase MRP and nuclear RNase P"
YDR212W,TCP1,-0.003399185,0.000629319,0.004028504,Tailless Complex Polypeptide,"Alpha subunit of chaperonin-containing T-complex, which mediates protein folding in the cytosol; involved in actin cytoskeleton maintenance; overexpression in neurons suppresses formation of pathogenic conformations of huntingtin protein"
YLR045C,STU2,-0.00338037,-0.006124163,0.002743793,Suppressor of tub2,Microtubule-associated protein (MAP) of the XMAP215/Dis1 family; regulates microtubule dynamics during spindle orientation and metaphase chromosome alignment; interacts with spindle pole body component Spc72p
YGL047W,ALG13,-0.003378182,0.001426055,0.004804237,Asparagine-Linked Glycosylation,"Catalytic component of UDP-GlcNAc transferase, required for the second step of dolichyl-linked oligosaccharide synthesis; anchored to the ER membrane via interaction with Alg14p; similar to bacterial and human glycosyltransferases"
YDL145C,COP1,-0.003332771,-0.009590997,0.006258226,COat Protein,"Alpha subunit of COPI vesicle coatomer complex, which surrounds transport vesicles in the early secretory pathway"
YDR182W,CDC1,-0.003301602,8.78E-05,0.003389425,Cell Division Cycle,Putative lipid phosphatase of the endoplasmic reticulum; shows Mn2+ dependence and may affect Ca2+ signaling; mutants display actin and general growth defects and pleiotropic defects in cell cycle progression and organelle distribution
YGR246C,BRF1,-0.003285199,-0.004315673,0.001030474,B-Related Factor,"TFIIIB B-related factor, one of three subunits of RNA polymerase III transcription initiation factor TFIIIB, binds TFIIIC and TBP and recruits RNA pol III to promoters, amino-terminal half is homologous to TFIIB"
YJL074C,SMC3,-0.003250001,-0.00306365,0.000186351,Structural Maintenance of Chromosomes,"Subunit of the multiprotein cohesin complex required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member"
YNL261W,ORC5,-0.00321764,-0.002474556,0.000743085,Origin Recognition Complex,"Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing"
YGR009C,SEC9,-0.00321598,-0.00541233,0.002196351,SECretory,t-SNARE protein important for fusion of secretory vesicles with the plasma membrane; similar to but not functionally redundant with Spo20p; SNAP-25 homolog
YIL150C,MCM10,-0.003172346,-0.002279959,0.000892388,MiniChromosome Maintenance,Essential chromatin-associated protein involved in the initiation of DNA replication; required for the association of the MCM2-7 complex with replication origins
YKL125W,RRN3,-0.003163972,0.003748925,0.006912897,Regulation of RNA polymerase I,Protein required for transcription of rDNA by RNA polymerase I; transcription factor independent of DNA template; involved in recruitment of RNA polymerase I to rDNA; structure reveals unique HEAT repeat fold and a surface serine patch; phosphorylation of serine patch impairs cell growth and reduces RNA polymerase I binding in vitro and RNA polymerase I recruitment to the rDNA gene in vivo
YLR116W,MSL5,-0.003149789,0.001669127,0.004818915,Mud Synthetic-Lethal,"Component of the commitment complex, which defines the first step in the splicing pathway; essential protein that interacts with Mud2p and Prp40p, forming a bridge between the intron ends; also involved in nuclear retention of pre-mRNA"
YKL108W,SLD2,-0.003135342,0.000403292,0.003538634,Synthetically Lethal with Dpb11-1,"Single-stranded DNA origin-binding and annealing protein; required for the initiation of DNA replication; phosphorylated in S phase by cyclin-dependent kinases (Cdks), promoting origin binding, DNA replication and Dpb11p complex formation; component of the preloading complex; unphosphorylated or CDK-phosphorylated Sld2p binds to the MCM2-7 complex;required for the S phase checkpoint"
YDR243C,PRP28,-0.003129782,-0.00137113,0.001758652,Pre-mRNA Processing,"RNA helicase in the DEAD-box family, involved in RNA isomerization at the 5' splice site"
YDL105W,NSE4,-0.003127478,-0.003245466,0.000117988,Non-SMC Element,Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair
YPR133C,SPN1,-0.003127241,0.008658658,0.011785899,Suppresses Postrecruitment functions gene Number 1,"Protein involved in RNA polymerase II transcription; interacts genetically or physically with RNAP II, TBP, TFIIS, and chromatin remodelling factors; central domain highly conserved throughout eukaryotes; mutations confer an Spt- phenotype"
YNL222W,SSU72,-0.003035476,-0.00107741,0.001958067,"Suppressor of SUa7, gene 2",Transcription/RNA-processing factor that associates with TFIIB and cleavage/polyadenylation factor Pta1p; exhibits phosphatase activity on serine-5 of the RNA polymerase II C-terminal domain; affects start site selection in vivo
YOR174W,MED4,-0.003010043,-0.000451561,0.002558483,MEDiator complex,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
YMR208W,ERG12,-0.003009587,-0.003620972,0.000611385,ERGosterol biosynthesis,"Mevalonate kinase, acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate"
YDR196C,CAB5,-0.002999437,-0.008360495,0.005361057,0,Probable dephospho-CoA kinase (DPCK) that catalyzes the last step in coenzyme A biosynthesis; null mutant lethality is complemented by E. coli coaE (encoding DPCK); detected in purified mitochondria in high-throughput studies
YDR489W,SLD5,-0.00299295,-0.006627844,0.003634894,Synthetic Lethality with Dpb11-1,"Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery"
YNL162W,RPL42A,-0.002984214,-0.001942386,0.001041828,Ribosomal Protein of the Large subunit,"Protein component of the large (60S) ribosomal subunit, identical to Rpl42Bp and has similarity to rat L44 ribosomal protein"
YDR013W,PSF1,-0.002978825,0.001055621,0.004034446,Partner of Sld Five,"Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery"
YDR232W,HEM1,-0.002907923,-0.001047951,0.001859972,HEMe biosynthesis,"5-aminolevulinate synthase, catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p"
YJR022W,LSM8,-0.002862405,0.010268096,0.013130501,Like SM,"Lsm (Like Sm) protein; forms heteroheptameric complex (with Lsm2p, Lsm3p, Lsm4p, Lsm5p, Lsm6p, and Lsm7p) that is part of spliceosomal U6 snRNP and is also implicated in processing of pre-tRNA, pre-snoRNA, and pre-rRNA"
YGR030C,POP6,-0.002842346,0.00013545,0.002977796,Processing Of Precursor RNAs,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"
YGR145W,ENP2,-0.002840788,-0.004792259,0.001951471,Essential Nuclear Protein,"Essential nucleolar protein, required for biogenesis of the small ribosomal subunit; contains WD repeats, interacts with Mpp10p and Bfr2p, and has homology to Spb1p"
YIR011C,STS1,-0.002756603,0.003147173,0.005903776,Sec Twenty-three Suppressor 1,Protein required for localizing proteasomes to the nucleus; interacts with the karyopherin Srp1p; involved in ubiquitin-mediated protein degradation
YGL171W,ROK1,-0.002742724,-0.002371938,0.000370787,Rescuer Of Kem1,"RNA-dependent ATPase; involved in pre-rRNA processing at sites A0, A1, and A2, and in control of cell cycle progression; contains two upstream open reading frames (uORFs) in 5' untranslated region which regulate translation"
YJL001W,PRE3,-0.002734189,0.000946089,0.003680278,PRoteinase yscE,"Beta 1 subunit of the 20S proteasome, responsible for cleavage after acidic residues in peptides"
YHR196W,UTP9,-0.002720189,0.004035852,0.006756041,U Three Protein,"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"
YKL078W,DHR2,-0.002715233,-0.005965707,0.003250474,DEAH-box RNA helicase,"Predominantly nucleolar DEAH-box ATP-dependent RNA helicase, required for 18S rRNA synthesis"
YMR200W,ROT1,-0.002610805,-0.001432403,0.001178401,Reversal Of Tor2 lethality,"Molecular chaperone involved in protein folding in the ER; mutation causes defects in cell wall synthesis and in lysis of autophagic bodies, suppresses tor2 mutations, and is synthetically lethal with kar2-1 and with rot2 mutations; involved in N-linked glycosylation and O-mannosylation"
YLR409C,UTP21,-0.002606596,-0.002277095,0.000329501,U Three Protein,Subunit of U3-containing 90S preribosome and Small Subunit (SSU) processome complexes involved in production of 18S rRNA and assembly of small ribosomal subunit; synthetic defect with STI1 Hsp90 cochaperone; human homolog linked to glaucoma
YOR319W,HSH49,-0.002569299,0.001662056,0.004231354,Human Sap Homolog,U2-snRNP associated splicing factor with similarity to the mammalian splicing factor SAP49; proposed to function as a U2-snRNP assembly factor along with Hsh155p and binding partner Cus1p; contains two RNA recognition motifs (RRM)
YKL028W,TFA1,-0.002568813,0.008197066,0.010765879,"Transcription Factor a, subunit 1","TFIIE large subunit, involved in recruitment of RNA polymerase II to the promoter, activation of TFIIH, and promoter opening"
YBR109C,CMD1,-0.002543337,0.022971044,0.025514381,CalMoDulin,"Calmodulin; Ca++ binding protein that regulates Ca++ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca++ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin"
YKL095W,YJU2,-0.002510065,-0.004984951,0.002474887,0,"Essential protein required for pre-mRNA splicing; associates transiently with the spliceosomal NTC (""nineteen complex"") and acts after Prp2p to promote the first catalytic reaction of splicing"
YMR117C,SPC24,-0.00250456,-0.002443988,6.06E-05,Spindle Pole Component,"Component of the evolutionarily conserved kinetochore-associated Ndc80 complex (Ndc80p-Nuf2p-Spc24p-Spc25p); involved in chromosome segregation, spindle checkpoint activity and kinetochore clustering"
YLR175W,CBF5,-0.002492328,-0.009189306,0.006696978,Centromere Binding Factor,"Pseudouridine synthase catalytic subunit of box H/ACA small nucleolar ribonucleoprotein particles (snoRNPs), acts on both large and small rRNAs and on snRNA U2; mutations in human ortholog dyskerin cause the disorder dyskeratosis congenita"
YDR478W,SNM1,-0.002484919,0.000379208,0.002864127,Suppressor of Nuclear Mitochondrial endoribonuclease,"Subunit of RNase MRP, which cleaves pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; binds to the NME1 RNA subunit of RNase MRP"
YLR347C,KAP95,-0.002464213,0.048470278,0.050934492,KAryoPherin,"Karyopherin beta, forms a complex with Srp1p/Kap60p; interacts with nucleoporins to mediate nuclear import of NLS-containing cargo proteins via the nuclear pore complex; regulates PC biosynthesis; GDP-to-GTP exchange factor for Gsp1p"
YHL015W,RPS20,-0.002459598,0.006726168,0.009185765,Ribosomal Protein of the Small subunit,Protein component of the small (40S) ribosomal subunit; overproduction suppresses mutations affecting RNA polymerase III-dependent transcription; has similarity to E. coli S10 and rat S20 ribosomal proteins
YDR208W,MSS4,-0.002432205,-0.005394229,0.002962024,Multicopy Suppressor of Stt4 mutation,"Phosphatidylinositol-4-phosphate 5-kinase, involved in actin cytoskeleton organization and cell morphogenesis; multicopy suppressor of stt4 mutation"
YPR168W,NUT2,-0.002427849,-0.004647737,0.002219888,Negative regulation of URS Two,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; required for transcriptional activation and has a role in basal transcription
YGR253C,PUP2,-0.002382545,0.015082964,0.017465509,PUtative Proteasome subunit,Alpha 5 subunit of the 20S proteasome involved in ubiquitin-dependent catabolism; human homolog is subunit zeta
YER157W,COG3,-0.002344627,0.003407253,0.00575188,Conserved Oligomeric Golgi complex,"Essential component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments"
YDR087C,RRP1,-0.002322661,-0.00285773,0.000535069,Ribosomal RNA Processing,"Essential evolutionarily conserved nucleolar protein necessary for biogenesis of 60S ribosomal subunits and processing of pre-rRNAs to mature rRNAs, associated with several distinct 66S pre-ribosomal particles"
YDR437W,GPI19,-0.002321776,-0.001933175,0.000388601,Glycosyl PhosphatidylInositol anchor biosynthesis,"Subunit of GPI-GlcNAc transferase involved in synthesis of N-acetylglucosaminyl phosphatidylinositol (GlcNAc-PI), which is the first intermediate in glycosylphosphatidylinositol (GPI) anchor synthesis, shares similarity with mammalian PIG-P"
YPL243W,SRP68,-0.002320885,0.005531151,0.007852036,Signal Recognition Particle,Core component of the signal recognition particle (SRP) ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane
YOR143C,THI80,-0.002319402,0.010677695,0.012997097,THIamine metabolism,"Thiamine pyrophosphokinase, phosphorylates thiamine to produce the coenzyme thiamine pyrophosphate (thiamine diphosphate)"
YDR044W,HEM13,-0.002283985,-0.005246695,0.00296271,HEMe biosynthesis,"Coproporphyrinogen III oxidase, an oxygen requiring enzyme that catalyzes the sixth step in the heme biosynthetic pathway; transcription is repressed by oxygen and heme (via Rox1p and Hap1p)"
YDR141C,DOP1,-0.002251414,-0.002529784,0.00027837,homolog of A. nidulans DOPey,"Golgi-localized, leucine-zipper domain containing protein; involved in endosome to Golgi transport, organization of the ER, establishing cell polarity, and morphogenesis; detected in highly purified mitochondria in high-throughput studies"
YLR355C,ILV5,-0.002240498,0.003765818,0.006006316,IsoLeucine-plus-Valine requiring,Bifunctional acetohydroxyacid reductoisomerase and mtDNA binding protein; involved in branched-chain amino acid biosynthesis and maintenance of wild-type mitochondrial DNA; found in mitochondrial nucleoids
YDR373W,FRQ1,-0.002232302,-0.000894217,0.001338085,FReQuenin homolog,N-myristoylated calcium-binding protein that may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily
YJL033W,HCA4,-0.002222188,-0.007035063,0.004812875,Helicase CA,Putative nucleolar DEAD box RNA helicase; high-copy number suppression of a U14 snoRNA processing mutant suggests an involvement in 18S rRNA synthesis
YOL069W,NUF2,-0.002210988,0.000853737,0.003064725,NUclear Filament-containing protein,"Component of the evolutionarily conserved kinetochore-associated Ndc80 complex (Ndc80p-Nuf2p-Spc24p-Spc25p); involved in chromosome segregation, spindle checkpoint activity and kinetochore clustering"
YJL034W,KAR2,-0.002195877,-0.002336127,0.00014025,KARyogamy,"ATPase involved in protein import into the ER, also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p"
YJL054W,TIM54,-0.002154808,-0.003002129,0.00084732,Translocase of the Inner Mitochondrial membrane,Component of the mitochondrial TIM22 complex involved in insertion of polytopic proteins into the inner membrane
YER127W,LCP5,-0.00215121,-0.001662687,0.000488524,Lethal with Conditional Pap1,Essential protein involved in maturation of 18S rRNA; depletion leads to inhibited pre-rRNA processing and reduced polysome levels; localizes primarily to the nucleolus
YGL172W,NUP49,-0.00214934,-0.002586997,0.000437657,NUclear Pore,FG-nucleoporin component of central core of the nuclear pore complex (NPC); contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier; found in stable complex with Nic96p and two other FG-nucleoproteins (Nsp1p and Nup57p)
YDL208W,NHP2,-0.002146111,0.006648633,0.008794744,Non-Histone Protein,"Nuclear protein related to mammalian high mobility group (HMG) proteins, essential for function of H/ACA-type snoRNPs, which are involved in 18S rRNA processing"
YBR256C,RIB5,-0.002139084,-0.001083939,0.001055144,RIBoflavin biosynthesis,Riboflavin synthase; catalyzes the last step of the riboflavin biosynthesis pathway
YLR029C,RPL15A,-0.00212893,0.002783821,0.004912751,Ribosomal Protein of the Large subunit,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl15Bp and has similarity to rat L15 ribosomal protein; binds to 5.8 S rRNA"
YGL130W,CEG1,-0.002104978,-0.003928961,0.001823983,Capping Enzyme Guanylyltransferase,"Alpha (guanylyltransferase) subunit of the mRNA capping enzyme, a heterodimer (the other subunit is CET1, an RNA 5'-triphosphatase) involved in adding the 5' cap to mRNA; the mammalian enzyme is a single bifunctional polypeptide"
YGR090W,UTP22,-0.002103306,0.003380794,0.0054841,U Three Protein,"Possible U3 snoRNP protein involved in maturation of pre-18S rRNA, based on computational analysis of large-scale protein-protein interaction data"
YDR052C,DBF4,-0.002101555,-0.008555369,0.006453815,DumbBell Forming,"Regulatory subunit of Cdc7p-Dbf4p kinase complex, required for Cdc7p kinase activity and initiation of DNA replication; phosphorylates the Mcm2-7 family of proteins; cell cycle regulated"
YOR236W,DFR1,-0.002067465,0.000721126,0.00278859,DihydroFolate Reductase,Dihydrofolate reductase involved in tetrahydrofolate biosynthesis; required for respiratory metabolism
YDR086C,SSS1,-0.002058285,0.005478515,0.007536801,Sec Sixty-one Suppressor,"Subunit of the Sec61p translocation complex (Sec61p-Sss1p-Sbh1p) that forms a channel for passage of secretory proteins through the endoplasmic reticulum membrane, and of the Ssh1p complex (Ssh1p-Sbh2p-Sss1p); interacts with Ost4p and Wbp1p"
YPR041W,TIF5,-0.002034153,-0.021316763,0.019282609,Translation Initiation Factor,Translation initiation factor eIF5; functions both as a GTPase-activating protein to mediate hydrolysis of ribosome-bound GTP and as a GDP dissociation inhibitor to prevent recycling of eIF2
YNL124W,NAF1,-0.002007305,-0.000276072,0.001731232,Nuclear Assembly Factor,"RNA-binding protein required for the assembly of box H/ACA snoRNPs and thus for pre-rRNA processing, forms a complex with Shq1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p; similar to Gar1p"
YPR144C,NOC4,-0.001999689,0.000491738,0.002491427,NucleOlar Complex associated,"Nucleolar protein, forms a complex with Nop14p that mediates maturation and nuclear export of 40S ribosomal subunits"
YDR246W,TRS23,-0.001992519,-0.003605283,0.001612763,TRapp Subunit,One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involved in endoplasmic reticulum (ER) to Golgi membrane traffic; human homolog is TRAPPC4
YBR079C,RPG1,-0.001988559,-0.008672759,0.0066842,0,"eIF3a subunit of the core complex of translation initiation factor 3 (eIF3), essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation"
YMR236W,TAF9,-0.001953377,0.007543704,0.009497081,TATA binding protein-Associated Factor,"Subunit (17 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification, similar to histone H3"
YJL173C,RFA3,-0.001945472,0.002392386,0.004337858,Replication Factor A,"Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination"
YGR074W,SMD1,-0.001928627,0.000451505,0.002380131,snRNA Sm binding site protein D1,"Core Sm protein Sm D1; part of heteroheptameric complex (with Smb1p, Smd2p, Smd3p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D1"
YHR005C-A,TIM10,-0.001919411,-0.004797531,0.00287812,Translocase of the Inner Membrane,"Essential protein of the mitochondrial intermembrane space, forms a complex with Tim9p (TIM10 complex) that delivers hydrophobic proteins to the TIM22 complex for insertion into the inner membrane"
YHR190W,ERG9,-0.00191511,0.0023751,0.00429021,ERGosterol biosynthesis,"Farnesyl-diphosphate farnesyl transferase (squalene synthase), joins two farnesyl pyrophosphate moieties to form squalene in the sterol biosynthesis pathway"
YJL174W,KRE9,-0.001911904,0.012874331,0.014786235,Killer toxin REsistant,"Glycoprotein involved in cell wall beta-glucan assembly; null mutation leads to severe growth defects, aberrant multibudded morphology, and mating defects"
YLR259C,HSP60,-0.001875678,-0.003769685,0.001894008,Heat Shock Protein,Tetradecameric mitochondrial chaperonin required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated
YOR335C,ALA1,-0.001871459,0.007248215,0.009119674,ALAnyl-tRNA synthetase,"Cytoplasmic and mitochondrial alanyl-tRNA synthetase, required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog"
YLR215C,CDC123,-0.001864971,0.004309332,0.006174303,Cell Division Cycle,Protein involved in nutritional control of the cell cycle; regulates abundance of the translation initiation factor eIF2; ortholog of human D123 protein
YKR079C,TRZ1,-0.001853498,0.0073041,0.009157598,tRNase Z,tRNA 3'-end processing endonuclease tRNase Z; also localized to mitochondria and interacts genetically with Rex2 exonuclease; homolog of the human candidate prostate cancer susceptibility gene ELAC2
YFL029C,CAK1,-0.001843672,0.002948057,0.004791729,Cdk-Activating Kinase,"Cyclin-dependent kinase-activating kinase required for passage through the cell cycle, phosphorylates and activates Cdc28p; nucleotide-binding pocket differs significantly from those of most other protein kinases"
YKL088W,CAB3,-0.001840776,-0.002924848,0.001084073,Coenzyme A Biosynthesis,"Subunit of a phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex, which catalyzes the third step of coenzyme A biosynthesis; null mutant lethality is complemented by E. coli coaBC"
YPL124W,SPC29,-0.001820347,-0.002172966,0.000352619,Spindle Pole Component,"Inner plaque spindle pole body (SPB) component, links the central plaque component Spc42p to the inner plaque component Spc110p; required for SPB duplication"
YIL019W,FAF1,-0.001791003,-0.004726103,0.0029351,Forty (40) S Assembly Factor ,Protein required for pre-rRNA processing and 40S ribosomal subunit assembly
YLR078C,BOS1,-0.001766729,-0.000547406,0.001219323,Bet One Suppressor,"v-SNARE (vesicle specific SNAP receptor), localized to the endoplasmic reticulum membrane and necessary for vesicular transport from the ER to the Golgi"
YKL182W,FAS1,-0.001762503,-0.004096961,0.002334458,Fatty Acid Synthetase,"Beta subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities"
YDR376W,ARH1,-0.001755899,0.000213819,0.001969718,Adrenodoxin Reductase Homolog,"Oxidoreductase of the mitochondrial inner membrane, involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability"
YOR373W,NUD1,-0.001746638,-0.010142491,0.008395854,0,Component of the spindle pole body outer plaque; acts through the mitotic exit network to specify asymmetric spindle pole body inheritance
YPL266W,DIM1,-0.001725233,-0.00434173,0.002616496,DIMethylase,"Essential 18S rRNA dimethylase (dimethyladenosine transferase), responsible for conserved m6(2)Am6(2)A dimethylation in 3'-terminal loop of 18S rRNA, part of 90S and 40S pre-particles in nucleolus, involved in pre-ribosomal RNA processing"
YML098W,TAF13,-0.001715384,0.002561691,0.004277075,TATA binding protein-Associated Factor,"TFIID subunit (19 kDa), involved in RNA polymerase II transcription initiation, similar to histone H4 with atypical histone fold motif of Spt3-like transcription factors"
YDL139C,SCM3,-0.001674802,0.011031687,0.012706489,Suppressor of Chromosome Missegregation,"Nonhistone component of centromeric chromatin that binds stoichiometrically to CenH3-H4 histones, required for kinetochore assembly; required for G2/M progression and localization of Cse4p; may protect Cse4p from ubiquitylation"
YNL287W,SEC21,-0.001673204,-0.004129744,0.002456539,SECretory,"Gamma subunit of coatomer, a heptameric protein complex that together with Arf1p forms the COPI coat; involved in ER to Golgi transport of selective cargo"
YJR067C,YAE1,-0.001673082,0.000716111,0.002389193,0,"Protein of unknown function, essential for growth under standard (aerobic) conditions but not under anaerobic conditions"
YGR099W,TEL2,-0.001670889,-0.004174487,0.002503597,TELomere maintenance,"Subunit of the ASTRA complex, involved in chromatin remodeling; subunit of the telomere cap complex DNA-binding protein specific to single-stranded yeast telomeric DNA repeats, required for telomere length regulation and telomere position effect; involved in the stability or biogenesis of PIKKs such as TORC1"
YPR025C,CCL1,-0.001596494,0.004381523,0.005978017,0,"Cyclin associated with protein kinase Kin28p, which is the TFIIH-associated carboxy-terminal domain (CTD) kinase involved in transcription initiation at RNA polymerase II promoters"
YNL002C,RLP7,-0.001595194,0.001935006,0.003530201,Ribosomal-Like Protein,Nucleolar protein with similarity to large ribosomal subunit L7 proteins; constituent of 66S pre-ribosomal particles; plays an essential role in processing of precursors to the large ribosomal subunit RNAs
YDR118W,APC4,-0.001578106,-0.004826438,0.003248332,Anaphase Promoting Complex,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis"
YKR081C,RPF2,-0.001575661,-0.004532078,0.002956417,0,Essential protein involved in the processing of pre-rRNA and the assembly of the 60S ribosomal subunit; interacts with ribosomal protein L11; localizes predominantly to the nucleolus; constituent of 66S pre-ribosomal particles
